Year,BabyBoom,GenX,Millennial,Silent
1989,32.692904980649956,0.19730835141932104,0.0,67.10978666793072
1990,32.7738680105264,0.20151923148247847,0.0,67.02461275799112
1991,33.83752547298283,0.5161770046693159,0.0,65.64629752234785
1992,35.20364430755904,0.9176508631809043,0.0,63.87870482926006
1993,40.89245991898054,2.1113625857732163,0.0,56.99617749524624
1994,45.21908468758903,2.46718407033611,0.0,52.31373124207486
1995,48.878717373080974,3.8812496630471247,0.0,47.2400329638719
1996,51.792101224057035,4.78752257535028,0.0,43.420376200592685
1997,53.945891111806475,6.667550170763163,0.0,39.38655871743036
1998,56.05259883513146,7.951033958029077,0.0,35.99636720683945
1999,57.132888106500495,10.19909799779444,0.0,32.668013895705066
2000,58.3963440010662,11.634674922375961,0.0,29.968981076557842
2001,61.37625306469905,8.275732016903836,0.003349933336087275,30.344664985061026
2002,64.76903153058538,6.150855683004751,0.006050044424411875,29.07406274198546
2003,66.42890080734024,7.4727283621859115,0.0242231149445818,26.07414771552927
2004,66.73131282209283,10.370862621323882,0.0946233603966518,22.803201196186635
2005,67.23677620221962,11.859676791068006,0.13363630568258777,20.769910701029794
2006,67.61600104536359,13.132427642782163,0.16212784722863685,19.089443464625603
2007,67.71365151849206,14.572218970941949,0.22453861763398086,17.489590892932018
2008,70.73867572860736,12.636082725698532,0.12830648789476412,16.49693505779934
2009,71.83954953980579,13.145254419852872,0.27236084404754374,14.742835196293798
2010,68.87888347581611,18.138456127541822,0.9053299303859378,12.07733046625613
2011,67.576281255054,20.653724766226567,1.2870714731608586,10.48292250555857
2012,66.31341024720399,22.914823063262645,1.6816786815860345,9.090088007947342
2013,64.17362513055684,25.781935264847014,2.275500809165734,7.768938795430399
2014,62.47335192065495,27.418500025807305,3.1102237432170536,6.997924310320685
2015,62.13855781460041,27.502812267362916,3.838115866160995,6.52051405187568
2016,61.10004361975064,28.17139114890898,4.7023791025482975,6.026186128792079
2017,57.283571340667834,31.34606239303428,5.607341734283632,5.76302453201425
2018,53.92246876679239,34.14413553202741,6.394339711244902,5.5390559899352985
2019,50.72413497899302,36.83916523853895,7.247505603182979,5.189194179285046
2020,50.00731744111455,37.531027802018826,7.438822562385401,5.0228321944812135
2021,48.24911428058228,38.84240417114373,8.273236532782137,4.635245015491854
2022,48.73909820891211,38.486271013357126,8.509712960465011,4.264917817265755
